=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2025-9-12_19-9-58
====================================================================================
19:9:58 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
19:9:58 | [PermissionManager] Perm (TeleportToCrosshair) has been registered!
19:9:58 | [PermissionManager] Perm (FreeCamera) has been registered!
19:9:58 | [PermissionManager] Perm (RepairVehiclesAtCrosshair) has been registered!
19:9:58 | [PermissionManager] Perm (MenuItemManager) has been registered!
19:9:58 | [PermissionManager] Perm (MenuItemManager:SpawnItem) has been registered!
19:9:58 | [PermissionManager] Perm (MenuItemManager:EditPreset) has been registered!
19:9:58 | [PermissionManager] Perm (MenuItemManager:SpawnPreset) has been registered!
19:9:58 | [PermissionManager] Perm (MenuItemManager:DeletePreset) has been registered!
19:9:58 | [PermissionManager] Perm (MenuItemManager:AddPreset) has been registered!
19:9:58 | [PermissionManager] Perm (MenuServerManager) has been registered!
19:9:58 | [PermissionManager] Perm (ServerManager:RestartServer) has been registered!
19:9:58 | [PermissionManager] Perm (ServerManager:LockServer) has been registered!
19:9:58 | [PermissionManager] Perm (ServerManager:KickAllPlayers) has been registered!
19:9:58 | [PermissionManager] Perm (ServerManager:LoadScripts) has been registered!
19:9:58 | [PermissionManager] Perm (MenuWeatherManager) has been registered!
19:9:58 | [PermissionManager] Perm (WeatherManager:ApplyWeather) has been registered!
19:9:58 | [PermissionManager] Perm (WeatherManager:ApplyTime) has been registered!
19:9:58 | [PermissionManager] Perm (WeatherManager:SavePreset) has been registered!
19:9:58 | [PermissionManager] Perm (WeatherManager:DeletePreset) has been registered!
19:9:58 | [PermissionManager] Perm (WeatherManager:ApplyPreset) has been registered!
19:9:58 | [PermissionManager] Perm (WeatherManager:ApplyTimePreset) has been registered!
19:9:58 | [PermissionManager] Perm (WeatherManager:SaveTimePreset) has been registered!
19:9:58 | [PermissionManager] Perm (WeatherManager:DeleteTimePreset) has been registered!
19:9:58 | [PermissionManager] Perm (MenuObjectManager) has been registered!
19:9:58 | [PermissionManager] Perm (MenuObjectManager:CreateNewSet) has been registered!
19:9:58 | [PermissionManager] Perm (MenuObjectManager:UpdateSet) has been registered!
19:9:58 | [PermissionManager] Perm (MenuObjectManager:DeleteSet) has been registered!
19:9:58 | [PermissionManager] Perm (MenuObjectManager:EditSet) has been registered!
19:9:58 | [PermissionManager] Perm (MenuPermissionsEditor) has been registered!
19:9:58 | [PermissionManager] Perm (PermissionsEditor:RemoveUser) has been registered!
19:9:58 | [PermissionManager] Perm (PermissionsEditor:AddUser) has been registered!
19:9:58 | [PermissionManager] Perm (PermissionsEditor:CreateUserGroup) has been registered!
19:9:58 | [PermissionManager] Perm (PermissionsEditor:DeleteUserGroup) has been registered!
19:9:58 | [PermissionManager] Perm (PermissionsEditor:ChangePermLevel) has been registered!
19:9:58 | [PermissionManager] Perm (MenuPlayerManager) has been registered!
19:9:58 | [PermissionManager] Perm (PlayerManager:GiveGodmode) has been registered!
19:9:58 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
19:9:58 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
19:9:58 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
19:9:58 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
19:9:58 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
19:9:58 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
19:9:58 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
19:9:58 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
19:9:58 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
19:9:58 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
19:9:58 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
19:9:58 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
19:9:58 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
19:9:58 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
19:9:58 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
19:9:58 | [PermissionManager] Perm (MenuBansManager) has been registered!
19:9:58 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
19:9:58 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
19:9:58 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
19:9:58 | [PermissionManager] Perm (MenuWebHooks) has been registered!
19:9:58 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
19:9:58 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
19:9:58 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
19:9:58 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
19:9:58 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
19:9:58 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
19:9:58 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
19:9:58 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
19:9:58 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
19:9:58 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
19:9:58 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
19:9:58 | [PermissionManager] Perm (EspToolsMenu) has been registered!
19:9:58 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
19:9:58 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
19:9:58 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
19:9:58 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
19:9:58 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
19:9:58 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
19:9:58 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
19:9:58 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
19:9:58 | [PermissionManager] Adding Super Admin (76561199205606578)
19:9:58 | [PermissionManager] Adding Super Admin (76561199569546626)
19:9:58 | [PermissionManager] Loaded UserGroups.json
19:9:58 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
19:9:58 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
19:9:58 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
19:9:58 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
19:9:58 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
19:9:58 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
19:9:58 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
19:9:58 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
19:9:58 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
19:9:58 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
19:9:58 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
19:9:58 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
19:9:58 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
19:9:58 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
19:9:58 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
19:9:58 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
19:9:58 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
19:9:58 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
19:9:58 | Building Sets Loaded: 1
19:9:58 | [SteamAPIManager] WARNING couldn't fetch server IP from configs; using cURL...
19:9:58 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
19:14:23 | Player "Boogahadeen" (steamId=76561199205606578) connected to server!
19:28:29 | "Boogahadeen": (steamid=76561199205606578) teleported to (pos=NWAF)
19:28:32 | "Boogahadeen": (steamid=76561199205606578) teleported to (pos=NWAF)
19:28:35 | "76561199205606578" (steamid=76561199205606578) teleported to (pos=<4735.370117, 339.000000, 10347.400391>)
19:28:35 | "Boogahadeen": (steamid=76561199205606578) teleported to (pos=4735.37,0,10347.4)
19:28:36 | "76561199205606578" (steamid=76561199205606578) teleported to (pos=<4735.620117, 339.000000, 10347.400391>)
19:28:36 | "Boogahadeen": (steamid=76561199205606578) teleported to (pos=4735.62,0,10347.4)
19:30:11 | "Boogahadeen" (steamid=76561199205606578) gave godmode to (steamid=76561199205606578)
19:30:13 | "Boogahadeen" (steamid=76561199205606578) gave unlimited ammo to (steamid=76561199205606578)
19:33:8 | "76561199205606578" (steamid=76561199205606578) teleported to (pos=<5937.470215, 268.960724, 10263.900391>)
19:33:8 | "Boogahadeen": (steamid=76561199205606578) teleported to (pos=5937.47,0,10263.9)
19:33:42 | "76561199205606578" (steamid=76561199205606578) teleported to (pos=<4725.680176, 338.533997, 9745.690430>)
19:33:42 | "Boogahadeen": (steamid=76561199205606578) teleported to (pos=4725.68,0,9745.69)
19:54:16 | Player "Boogahadeen" (steamId=76561199205606578) initiated disconnect process...
19:54:21 | Player "Boogahadeen" (steamId=76561199205606578) disconnected from server.
