=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2025-3-22_15-5-25
====================================================================================
15:5:25 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
15:5:25 | [PermissionManager] Perm (TeleportToCrosshair) has been registered!
15:5:25 | [PermissionManager] Perm (FreeCamera) has been registered!
15:5:25 | [PermissionManager] Perm (RepairVehiclesAtCrosshair) has been registered!
15:5:25 | [PermissionManager] Perm (MenuItemManager) has been registered!
15:5:25 | [PermissionManager] Perm (MenuItemManager:SpawnItem) has been registered!
15:5:25 | [PermissionManager] Perm (MenuItemManager:EditPreset) has been registered!
15:5:25 | [PermissionManager] Perm (MenuItemManager:SpawnPreset) has been registered!
15:5:25 | [PermissionManager] Perm (MenuItemManager:DeletePreset) has been registered!
15:5:25 | [PermissionManager] Perm (MenuItemManager:AddPreset) has been registered!
15:5:25 | [PermissionManager] Perm (MenuServerManager) has been registered!
15:5:25 | [PermissionManager] Perm (ServerManager:RestartServer) has been registered!
15:5:25 | [PermissionManager] Perm (ServerManager:LockServer) has been registered!
15:5:25 | [PermissionManager] Perm (ServerManager:KickAllPlayers) has been registered!
15:5:25 | [PermissionManager] Perm (ServerManager:LoadScripts) has been registered!
15:5:25 | [PermissionManager] Perm (MenuWeatherManager) has been registered!
15:5:25 | [PermissionManager] Perm (WeatherManager:ApplyWeather) has been registered!
15:5:25 | [PermissionManager] Perm (WeatherManager:ApplyTime) has been registered!
15:5:25 | [PermissionManager] Perm (WeatherManager:SavePreset) has been registered!
15:5:25 | [PermissionManager] Perm (WeatherManager:DeletePreset) has been registered!
15:5:25 | [PermissionManager] Perm (WeatherManager:ApplyPreset) has been registered!
15:5:25 | [PermissionManager] Perm (WeatherManager:ApplyTimePreset) has been registered!
15:5:25 | [PermissionManager] Perm (WeatherManager:SaveTimePreset) has been registered!
15:5:25 | [PermissionManager] Perm (WeatherManager:DeleteTimePreset) has been registered!
15:5:25 | [PermissionManager] Perm (MenuObjectManager) has been registered!
15:5:25 | [PermissionManager] Perm (MenuObjectManager:CreateNewSet) has been registered!
15:5:25 | [PermissionManager] Perm (MenuObjectManager:UpdateSet) has been registered!
15:5:25 | [PermissionManager] Perm (MenuObjectManager:DeleteSet) has been registered!
15:5:25 | [PermissionManager] Perm (MenuObjectManager:EditSet) has been registered!
15:5:25 | [PermissionManager] Perm (MenuPermissionsEditor) has been registered!
15:5:25 | [PermissionManager] Perm (PermissionsEditor:RemoveUser) has been registered!
15:5:25 | [PermissionManager] Perm (PermissionsEditor:AddUser) has been registered!
15:5:25 | [PermissionManager] Perm (PermissionsEditor:CreateUserGroup) has been registered!
15:5:25 | [PermissionManager] Perm (PermissionsEditor:DeleteUserGroup) has been registered!
15:5:25 | [PermissionManager] Perm (PermissionsEditor:ChangePermLevel) has been registered!
15:5:25 | [PermissionManager] Perm (MenuPlayerManager) has been registered!
15:5:25 | [PermissionManager] Perm (PlayerManager:GiveGodmode) has been registered!
15:5:25 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
15:5:25 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
15:5:25 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
15:5:25 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
15:5:25 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
15:5:25 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
15:5:25 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
15:5:25 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
15:5:25 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
15:5:25 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
15:5:25 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
15:5:25 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
15:5:25 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
15:5:25 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
15:5:25 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
15:5:25 | [PermissionManager] Perm (MenuBansManager) has been registered!
15:5:25 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
15:5:25 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
15:5:25 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
15:5:25 | [PermissionManager] Perm (MenuWebHooks) has been registered!
15:5:25 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
15:5:25 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
15:5:25 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
15:5:25 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
15:5:25 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
15:5:25 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
15:5:25 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
15:5:25 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
15:5:25 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
15:5:25 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
15:5:25 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
15:5:25 | [PermissionManager] Perm (EspToolsMenu) has been registered!
15:5:25 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
15:5:25 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
15:5:25 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
15:5:25 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
15:5:25 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
15:5:25 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
15:5:25 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
15:5:25 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
15:5:25 | [PermissionManager] Adding Super Admin (76561199205606578)
15:5:25 | [PermissionManager] Loaded UserGroups.json
15:5:25 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
15:5:25 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
15:5:25 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
15:5:25 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
15:5:25 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
15:5:25 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
15:5:25 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
15:5:25 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
15:5:25 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
15:5:25 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
15:5:25 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
15:5:25 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
15:5:25 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
15:5:25 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
15:5:25 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
15:5:25 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
15:5:25 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
15:5:25 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
15:5:25 | Building Sets Loaded: 0
15:5:25 | [SteamAPIManager] WARNING couldn't fetch server IP from configs; using cURL...
15:5:25 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
15:9:12 | Player "Boogahadeen" (steamId=76561199205606578) connected to server!
15:12:21 | "Boogahadeen" (steamid=76561199205606578) gave godmode to (steamid=76561199205606578)
15:12:21 | "Boogahadeen" (steamid=76561199205606578) gave unlimited ammo to (steamid=76561199205606578)
15:12:54 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (ExpansionGyrocopter)
15:16:59 | "Boogahadeen" (steamid=76561199205606578) deleted objects using ESP
15:17:7 | "76561199205606578" (steamid=76561199205606578) teleported to (pos=<506.622009, 422.989746, 10628.799805>)
15:17:7 | "Boogahadeen": (steamid=76561199205606578) teleported to (pos=506.622,0,10628.8)
15:17:16 | "76561199205606578" (steamid=76561199205606578) teleported to (pos=<541.601990, 415.065125, 10580.599609>)
15:17:16 | "Boogahadeen": (steamid=76561199205606578) teleported to (pos=541.602,0,10580.6)
15:27:52 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (PileOfWoodenPlanks)
15:28:22 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (BBP_Blueprint)
15:28:58 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (NailBox)
15:28:58 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (NailBox)
15:29:6 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (HandSaw)
15:35:40 | "Boogahadeen" (steamid=76561199205606578) deleted objects using ESP
15:35:49 | "Boogahadeen" (steamid=76561199205606578) deleted objects using ESP
15:35:57 | "76561199205606578" (steamid=76561199205606578) teleported to (pos=<1075.660034, 346.312714, 10805.500000>)
15:35:57 | "Boogahadeen": (steamid=76561199205606578) teleported to (pos=1075.66,0,10805.5)
15:36:12 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (BBP_Step_Ladder)
15:36:17 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (BBP_Step_Ladder)
15:36:54 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (HDSN_BreachingChargeHeavy)
15:39:0 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (BBP_Workbench)
15:39:30 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (PileOfWoodenPlanks)
15:40:14 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (HandSaw)
15:42:39 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (WoodenLog)
15:42:39 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (WoodenLog)
15:42:39 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (WoodenLog)
15:42:39 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (WoodenLog)
15:42:54 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (Hatchet)
15:43:4 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (Shovel)
15:44:24 | "Boogahadeen" (steamid=76561199205606578) deleted objects using ESP
15:44:48 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (BBP_Cement)
15:46:27 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (Hatchet)
15:46:39 | Admin "Boogahadeen" (steamId=76561199205606578) built part frame at position: <1067.442993, 347.110321, 10817.132813>
